NAME	ADDRESS	ZIP	SSN	SEX	MARITALSTATUS	CHILDREN	OCCUPATION	HOMEOWNERSHIP	INCOME	EXPENSES	CHECKING	SAVINGS	MSTRCARD	VISA	AMEX	MERCHANT	PAYMENTHISTORY
Fred Goldberg	532 Prospect Lane	99904	436-96-3341	M	M	1	Unknown	O	8258	2890	N	Y	3	4	2	7	12
Joan Smith	413 Green Street	99960	305-66-2207	F	M	1	Unknown	O	2835	850	N	Y	1	3	2	8	12
Anthony Coleman	452 Del Mar Blvd.	99930	432-11-6422	M	M	1	Professional	O	3100	1240	N	Y	2	5	2	7	12
Faith Brown	434 Main Street	99906	281-79-2396	F	M	2	Principal	O	4487	1570	N	Y	3	5	3	5	12
Samuel Goldberg	562 Cordova Lane	99956	146-42-0302	M	M	0	Unknown	O	5447	1906	N	Y	1	5	0	9	12
Mike Anthony	832 Main Street	99912	372-94-4108	M	M	2	Professional	O	3357	1007	N	Y	2	5	2	8	12
Mike Waxman	208 Mayfield Drive	99944	185-07-9670	M	M	1	Unknown	O	7097	2838	N	Y	1	5	0	9	12
Joan Jones	900 Main Street	99900	398-06-5276	F	W	1	Principal	O	3302	990	Y	Y	3	3	1	5	12
Terrence Coriano	519 Mayfield Drive	99933	147-70-9620	M	S	1	Professional	O	2759	689	N	Y	2	2	2	6	12
Fred Farmer	138 Forest St.	99900	120-19-5541	M	M	3	Professional	O	7689	2306	N	Y	4	2	2	9	12
Carol Fraser	744 River Road	99900	171-99-0855	F	M	1	Principal	O	4199	1469	Y	Y	5	5	2	7	12
Jerry Baker	963 Hill Avenue	99939	400-59-0153	M	M	2	Professional	O	5316	1594	N	Y	2	3	2	5	12
Fred Baker	635 Main Street	99915	182-66-7601	M	M	0	Unknown	O	3399	1189	N	Y	1	4	0	9	12
Faith Jones	324 Hill Avenue	99900	190-86-0775	F	M	3	Unknown	O	2344	937	N	Y	1	5	3	9	12
Fred Fraser	211 River Road	99910	365-04-4243	M	M	1	Principal	O	4469	1564	N	Y	2	3	1	8	12
Jerry Lewis	186 Lake Street	99900	227-51-7585	M	M	1	Principal	O	7724	2317	N	Y	2	5	3	6	12
Sarah Coleman	22 Hill Avenue	99952	398-73-8251	F	M	1	Manager	O	8854	3541	N	Y	1	5	1	6	12
Anthony Silverman	59 Lake Street	99930	103-88-5519	M	M	1	Manager	O	7452	2980	N	Y	4	5	0	4	12
Mike Jones	558 Forest St.	99900	294-02-7849	M	M	2	Principal	O	8256	2476	N	Y	1	3	1	6	12
John Smith	749 Main Street	99915	348-03-3084	M	M	1	Manager	O	4161	1123	Y	Y	3	4	1	5	12
Ernest Brewster	344 High View Road	99914	215-35-2352	M	M	1	Principal	O	7025	1896	N	Y	2	5	3	3	12
Anthony Lewis	481 Forest St.	99900	344-30-5322	M	M	1	Principal	O	8000	2800	N	Y	2	5	2	5	12
Terrence Smith	373 Rose Court	99904	351-02-1021	M	M	1	Principal	O	7536	3014	N	Y	2	3	0	9	12
Anthony Anthony	943 Green Street	99912	171-96-7821	M	M	2	Principal	O	5655	2262	N	Y	2	5	2	7	12
Ernest Baker	966 River Road	99900	416-53-8683	M	M	1	Professional	O	3086	1234	N	Y	2	5	0	4	12
Samuel Baker	707 Park Avenue	99925	492-54-4904	M	M	2	Principal	O	5584	2233	N	Y	1	5	2	9	12
Ernest Gorman	462 Cordova Lane	99900	355-29-8684	M	M	2	Principal	O	7616	3046	N	Y	2	5	2	4	12
Gary Farmer	444 Del Mar Blvd.	99900	257-30-9235	M	M	2	Principal	O	6260	1690	N	Y	2	3	2	8	11
John Steinman	186 Lake Street	99900	225-02-5663	M	S	2	Principal	O	3155	851	N	Y	1	2	0	8	12
Ernest Lewis	533 Mayfield Drive	99955	280-06-4352	M	M	3	Principal	O	3792	1137	N	Y	1	2	3	9	12
Joan Silverman	540 Rose Court	99900	316-05-9192	F	M	1	Unknown	O	4435	1774	N	Y	2	5	2	8	12
Hope Lewis	134 Main Street	99906	487-66-3352	F	S	1	Professional	O	3033	909	N	Y	4	5	0	8	12
Gary Coriano	305 Lake Street	99930	445-70-9743	M	M	2	Principal	O	8798	2199	N	Y	1	4	3	8	12
Ernest Fraser	642 Hill Avenue	99900	446-13-5302	M	M	1	Principal	R	5865	1759	N	Y	5	5	2	3	12
Alex Coleman	992 Forest St.	99900	181-55-2024	M	M	1	Manager	O	8114	2190	Y	Y	3	5	0	7	12
Jerry Brewster	561 Green Street	99936	478-99-2128	M	M	1	Professional	O	7108	2487	N	Y	1	5	0	9	12
John Waxman	913 Hill Avenue	99913	333-75-3886	M	M	1	Principal	O	7117	1921	N	Y	1	5	1	9	12
Joan Smith	1004 Glen View Drive	99916	435-60-8693	F	M	2	Principal	O	6162	1663	N	Y	4	4	1	7	12
John Brown	1004 Main Street	99906	248-12-8562	M	M	1	Unknown	O	8975	3141	N	Y	3	4	1	7	12
Fred Anthony	550 Rose Court	99916	136-46-7260	M	M	2	Principal	O	6435	1930	N	Y	3	4	1	9	12
Sarah Brewster	244 Maple Lane	99936	264-66-3861	F	M	2	Principal	O	8129	2194	N	Y	1	4	0	9	12
Fred Gorman	869 Cordova Lane	99970	252-28-1241	M	M	1	Professional	O	7547	2641	N	Y	2	2	3	8	12
Sarah Brown	125 Lake Street	99930	402-78-3026	F	M	2	Manager	O	7624	2058	N	Y	2	2	2	9	12
John Lewis	516 Hill Avenue	99900	386-78-5593	M	M	1	Skilled	O	6774	2032	N	Y	1	2	0	9	12
Ernest Coriano	820 Green Street	99948	467-14-6680	M	S	1	Principal	O	5207	1562	Y	Y	3	5	2	5	12
Fred Coriano	268 Hill Avenue	99952	344-10-7736	M	M	2	Principal	O	5451	1907	N	Y	1	5	3	9	12
Sarah Gorman	80 Green Street	99924	238-67-8341	F	M	2	Principal	O	4007	1202	N	Y	1	5	0	9	12
Hope Steinman	341 Green Street	99960	187-61-5976	F	M	1	Principal	R	5883	2059	N	Y	1	2	2	9	12
Ernest Goldberg	908 Prospect Lane	99902	462-96-9888	M	M	2	Manager	O	5994	1618	N	Y	1	2	2	9	12
Carol Goldberg	264 Park Avenue	99900	456-55-9332	F	M	1	Principal	O	2795	1118	N	Y	1	5	3	9	12
Terrence Smith	158 Cordova Lane	99928	134-75-0327	M	M	1	Manager	O	6309	1703	N	Y	3	3	1	7	12
John Anthony	37 Cordova Lane	99914	118-38-8609	M	M	2	Principal	O	5784	1735	Y	Y	7	5	3	3	12
Sarah Farmer	461 River Road	99950	357-61-0012	F	M	2	Principal	O	6802	2040	N	Y	3	4	3	3	12
Gary Farmer	785 Green Street	99960	252-51-0323	M	M	1	Professional	O	7437	1859	N	Y	2	4	1	6	12
Jerry Gorman	601 Maple Lane	99909	396-61-0570	M	M	2	Manager	O	6925	1869	N	Y	1	3	2	9	12
Hope Brown	278 Park Avenue	99910	160-98-8034	F	W	1	Professional	O	3362	907	N	Y	1	4	3	9	12
Gary Coleman	990 Mayfield Drive	99900	124-12-5615	M	M	2	Skilled	O	2374	830	N	Y	1	3	3	9	12
Joan Silverman	66 Glen View Drive	99900	344-81-4002	F	M	2	Professional	O	3133	1253	Y	Y	2	5	2	0	12
Ernest Anthony	324 Green Street	99900	377-42-9321	M	M	2	Principal	O	3410	852	N	Y	1	3	1	9	12
Fred Farmer	643 Mayfield Drive	99911	269-48-4135	M	M	2	Unknown	O	7368	1989	N	Y	3	5	0	8	12
Robert Waxman	585 Hill Avenue	99939	187-95-9745	M	M	2	Principal	O	3175	857	N	Y	3	5	2	8	12
Faith Fraser	353 River Road	99950	369-90-8298	F	W	0	Unknown	R	6615	2646	N	Y	5	5	1	4	12
Robert Fraser	535 Park Avenue	99905	298-66-1776	M	M	2	Principal	O	7201	2520	N	Y	2	5	1	4	12
Carol Coleman	82 Prospect Lane	99904	488-03-1659	F	M	2	Principal	O	6106	1648	N	Y	1	5	0	9	12
Mike Brewster	736 Hill Avenue	99952	402-06-8892	M	M	0	Unknown	O	6030	2412	N	Y	1	4	0	9	12
Ernest Jones	419 Park Avenue	99925	418-61-7702	M	M	2	Manager	O	8107	2432	N	Y	1	4	0	9	12
Robert Anthony	816 Lake Street	99900	301-74-1075	M	M	1	Principal	O	7637	3054	N	Y	2	3	2	9	12
Ernest Silverman	785 Forest St.	99900	495-33-3253	M	M	1	Principal	R	7467	2986	N	Y	1	2	3	9	12
Samuel Steinman	451 Green Street	99912	315-14-5524	M	M	2	Principal	O	5220	1827	N	Y	2	5	0	9	12
Terrence Silverman	887 Forest St.	99900	416-60-6797	M	M	1	Skilled	O	4692	1407	N	Y	1	4	0	9	11
Gary Steinman	860 Broad Street	99904	491-38-1022	M	M	2	Manager	O	4067	1098	N	Y	1	4	3	9	12
Robert Brown	817 Prospect Lane	99901	476-44-0133	M	S	1	Manager	O	5386	1346	Y	Y	2	2	0	8	12
Ernest Smith	336 River Road	99900	142-25-1351	M	M	1	Unknown	O	3987	1594	N	Y	1	5	1	9	12
Gary Brown	275 High View Road	99935	136-31-4609	M	S	1	Professional	O	3459	1383	Y	Y	2	4	0	6	12
John Goldberg	414 Mayfield Drive	99900	340-53-7672	M	W	1	Unskilled	O	2587	905	N	Y	2	3	1	9	12
Anthony Waxman	603 Forest St.	99900	161-21-6433	M	M	1	Unknown	O	2280	912	N	Y	1	5	1	8	12
John Silverman	816 Cordova Lane	99900	125-11-1353	M	M	2	Professional	O	6112	1833	N	Y	2	4	0	7	12
Anthony Farmer	396 Glen View Drive	99900	228-94-4677	M	M	2	Manager	O	7195	1942	N	Y	2	4	2	4	12
Faith Waxman	638 Main Street	99906	266-30-0351	F	M	2	Professional	O	3309	1323	N	Y	2	5	0	7	12
Robert Goldberg	127 Park Avenue	99905	345-88-9454	M	M	1	Professional	O	6352	2540	Y	Y	3	5	0	3	12
Alex Lewis	152 Glen View Drive	99916	403-80-1366	M	M	1	Principal	O	8322	2496	Y	Y	3	5	1	6	12
Alex Brown	182 High View Road	99914	357-70-2406	M	M	1	Manager	O	8054	2174	Y	Y	3	4	3	6	12
Faith Smith	262 Glen View Drive	99932	470-41-6576	F	M	2	Principal	O	7987	2156	N	Y	2	2	1	7	12
Robert Silverman	334 Prospect Lane	99904	280-84-4572	M	M	2	Professional	O	7864	2752	N	Y	2	2	0	8	12
John Brewster	283 Cordova Lane	99914	239-80-0396	M	M	1	Manager	O	5807	2032	Y	Y	2	5	1	7	12
Robert Farmer	363 Main Street	99909	317-46-2629	M	M	1	Manager	O	7578	2652	N	Y	3	5	2	2	12
Gary Gorman	800 Hill Avenue	99926	443-68-3704	M	M	2	Principal	O	8411	2943	N	Y	1	4	0	9	12
Carol Brown	531 Forest St.	99900	397-64-0185	F	M	1	Principal	O	6653	1995	N	Y	1	4	0	7	12
Hope Fraser	888 Green Street	99900	378-07-5850	F	M	2	Principal	O	4474	1342	N	Y	1	2	3	9	12
Carol Farmer	385 Maple Lane	99909	194-12-4059	F	M	0	Unknown	O	3771	1131	Y	Y	2	4	3	7	12
Fred Smith	836 Green Street	99924	265-56-5740	M	W	0	Unknown	R	2040	816	N	Y	3	3	1	9	12
Joan Lewis	92 Mayfield Drive	99922	455-11-0057	F	M	1	Principal	O	7632	2671	N	Y	3	4	2	1	12
Mike Jones	231 Cordova Lane	99942	190-42-5992	M	M	2	Principal	O	7207	2882	N	Y	5	5	1	5	12
Faith Baker	935 River Road	99950	181-23-5575	F	M	2	Principal	O	6781	2373	Y	Y	4	3	3	5	12
Carol Steinman	754 Del Mar Blvd.	99960	230-51-2323	F	M	2	Principal	O	5608	1402	Y	Y	2	4	3	8	12
Mike Coleman	393 Cordova Lane	99942	202-16-0522	M	M	2	Professional	O	8322	2496	N	Y	1	5	3	8	12
Gary Coleman	83 Rose Court	99920	165-83-2369	M	S	1	Principal	O	8507	2126	N	Y	1	2	0	8	12
Fred Brewster	475 Park Avenue	99905	405-79-7850	M	S	1	Professional	O	5735	1720	Y	Y	3	4	1	5	12
Jerry Lewis	27 Cordova Lane	99942	489-94-9813	M	M	2	Professional	O	4019	1085	N	Y	2	3	3	8	12
John Coleman	7 River Road	99910	296-65-9844	M	M	2	Principal	O	7734	3093	N	Y	3	5	0	6	12
Carol Coleman	54 Rose Court	99900	137-87-9463	F	M	1	Principal	R	7286	2914	N	Y	2	5	3	6	12
Hope Goldberg	20 Main Street	99906	265-99-7835	F	M	1	Unknown	O	7606	2281	N	Y	1	5	2	9	12
Carol Silverman	99 Del Mar Blvd.	99945	401-02-0854	F	M	2	Principal	O	6646	1794	N	Y	1	5	0	9	12
Terrence Farmer	949 High View Road	99907	434-16-4153	M	M	1	Principal	O	8693	3042	N	Y	1	5	2	9	12
Gary Coriano	280 Park Avenue	99920	357-33-0542	M	S	1	Unknown	O	8007	3202	N	Y	1	5	0	9	12
Mike Baker	906 Glen View Drive	99900	494-85-4371	M	M	1	Principal	O	7487	2620	N	Y	1	5	1	9	12
Anthony Gorman	338 Main Street	99906	173-30-4463	M	M	1	Manager	O	6727	1816	N	Y	1	5	2	9	12
Alex Gorman	87 Forest St.	99900	225-87-6905	M	M	2	Principal	O	6495	1948	N	Y	1	4	1	9	12
Samuel Waxman	861 River Road	99930	283-88-7194	M	M	2	Professional	O	6531	1763	N	Y	1	4	0	9	12
Carol Coleman	11 High View Road	99935	160-61-3241	F	M	1	Principal	O	5117	1790	N	Y	2	5	2	7	12
Terrence Gorman	539 Cordova Lane	99970	431-24-3073	M	M	3	Principal	O	5410	1623	N	Y	3	2	2	7	12
Alex Brewster	316 Rose Court	99916	111-01-0589	M	M	2	Professional	O	3155	1104	Y	Y	3	5	1	4	12
John Smith	715 Hill Avenue	99913	116-42-2325	M	M	2	Professional	O	3996	999	N	Y	1	5	3	9	12
Samuel Goldberg	443 Forest St.	99900	405-25-7951	M	M	2	Manager	O	3325	897	N	Y	1	5	3	9	12
Hope Coriano	263 Forest St.	99900	372-51-8023	F	M	1	Principal	O	3520	1408	N	Y	1	5	0	9	12
Samuel Fraser	976 Prospect Lane	99904	454-09-5278	M	M	1	Professional	O	3580	1432	N	Y	1	4	0	9	12
Ernest Smith	844 Main Street	99912	445-42-0222	M	M	2	Skilled	O	3833	958	N	Y	1	2	1	9	12
Mike Anthony	42 Mayfield Drive	99900	153-76-0670	M	M	1	Principal	O	3083	1079	N	Y	1	2	3	9	12
Robert Lewis	800 River Road	99920	393-47-5374	M	M	1	Professional	O	2004	701	N	Y	1	5	1	9	12
Faith Jones	969 Lake Street	99918	470-35-2736	F	M	2	Principal	O	2144	578	Y	Y	2	2	2	4	12
Faith Lewis	451 Green Street	99912	250-67-7465	F	W	1	Unknown	O	2321	626	N	Y	1	2	3	9	12
Fred Farmer	583 Mayfield Drive	99911	270-97-1081	M	S	1	Professional	O	2995	898	N	Y	1	2	1	9	12
Anthony Coleman	377 High View Road	99935	322-52-4070	M	M	2	Principal	O	3675	1102	N	Y	2	3	2	8	12
John Fraser	870 High View Road	99900	337-89-0029	M	M	1	Principal	O	8689	3041	N	Y	2	5	1	7	12
Alex Goldberg	214 Cordova Lane	99956	426-04-0826	M	M	2	Principal	O	4355	1088	N	Y	1	5	2	8	12
Anthony Coriano	653 Mayfield Drive	99955	281-03-2330	M	M	2	Principal	O	5881	2058	N	Y	2	4	1	2	12
Anthony Lewis	368 Prospect Lane	99902	483-27-4597	M	M	1	Professional	O	7323	2929	Y	Y	8	5	0	5	12
John Silverman	646 Rose Court	99916	420-18-0060	M	M	2	Principal	O	6786	2375	Y	Y	3	5	1	4	12
Faith Coriano	936 Prospect Lane	99900	484-20-5563	F	M	1	Manager	O	6097	2133	Y	Y	4	5	3	5	12
Jerry Coleman	974 Hill Avenue	99926	233-90-5099	M	M	1	Manager	O	7675	2686	N	Y	5	5	0	1	12
Mike Brewster	974 Forest St.	99900	414-06-6793	M	M	2	Professional	O	6746	1821	N	Y	4	5	0	5	12
Hope Fraser	626 Forest St.	99900	215-64-8980	F	M	2	Principal	O	6172	2468	N	Y	2	5	0	7	11
Alex Silverman	195 High View Road	99921	376-34-3382	M	M	2	Manager	O	6948	2431	N	Y	1	5	0	9	12
Jerry Gorman	364 Glen View Drive	99932	276-62-2766	M	M	2	Professional	O	7075	1910	N	Y	2	2	3	7	12
John Gorman	476 Maple Lane	99918	314-85-1739	M	M	1	Professional	O	7231	2169	N	Y	1	2	0	3	12
Robert Jones	623 Maple Lane	99945	412-42-0035	M	M	3	Unknown	O	6707	2012	N	Y	1	2	1	9	12
Mike Jones	906 Broad Street	99900	299-22-1391	M	M	2	Principal	O	7248	2536	N	Y	1	1	2	9	12
Fred Coleman	400 Lake Street	99924	343-28-8177	M	M	2	Professional	R	4289	1158	Y	Y	2	5	1	5	12
Ernest Farmer	97 Park Avenue	99905	306-21-8381	M	M	1	Principal	O	3725	1117	Y	Y	2	5	2	5	12
Ernest Fraser	648 High View Road	99900	468-29-6277	M	M	1	Principal	O	3473	937	N	Y	1	5	2	9	12
Jerry Coleman	967 Mayfield Drive	99911	449-66-8813	M	M	1	Principal	O	3102	837	N	Y	1	5	3	9	12
Hope Brewster	169 Glen View Drive	99908	442-56-5991	F	M	2	Principal	O	3517	1230	N	Y	1	4	3	0	12
Alex Steinman	633 Maple Lane	99927	113-37-8311	M	M	1	Unknown	O	3102	1085	N	Y	1	4	3	9	12
Gary Baker	201 Mayfield Drive	99933	361-21-2609	M	M	0	Unknown	O	2911	1164	N	Y	1	3	0	9	12
Faith Smith	764 Del Mar Blvd.	99930	266-69-5865	F	M	2	Skilled	O	2547	764	N	Y	2	2	1	9	12
Samuel Waxman	636 Main Street	99900	298-45-3953	M	S	2	Principal	O	8494	2548	N	Y	3	5	2	5	12
Ernest Goldberg	329 Green Street	99960	192-12-8596	M	M	1	Principal	O	5602	2240	N	Y	2	4	2	9	12
Ernest Farmer	158 Forest St.	99900	481-66-2425	M	M	2	Principal	O	5559	1945	N	Y	2	3	1	8	12
Joan Gorman	834 Glen View Drive	99900	182-92-9548	F	M	2	Unskilled	O	3247	876	N	Y	1	4	2	7	12
Jerry Jones	112 Maple Lane	99936	418-63-7265	M	S	1	Professional	O	3406	919	N	Y	1	3	3	9	12
Carol Brown	897 Glen View Drive	99924	103-55-4004	F	M	1	Professional	O	6713	2685	N	Y	2	5	1	7	12
Ernest Gorman	431 Rose Court	99920	492-32-5630	M	M	1	Unknown	O	5657	2262	Y	Y	3	5	0	2	12
Mike Silverman	90 River Road	99900	114-02-4555	M	M	1	Unknown	O	5685	2274	Y	Y	2	3	3	4	12
Fred Gorman	1014 Maple Lane	99900	271-33-2431	M	M	2	Unknown	O	3563	1247	Y	Y	2	5	3	8	12
Fred Lewis	72 Mayfield Drive	99900	179-28-9600	M	M	1	Principal	O	8447	2956	N	Y	1	4	3	8	12
Alex Silverman	635 Maple Lane	99945	432-28-7463	M	S	1	Unknown	O	3856	1542	N	Y	1	5	0	9	12
Ernest Lewis	595 Cordova Lane	99914	312-17-6881	M	M	2	Principal	O	3232	969	N	Y	2	3	2	8	12
Carol Silverman	750 High View Road	99900	286-48-1925	F	M	2	Manager	O	3536	1060	N	Y	2	2	3	8	12
Mike Silverman	790 River Road	99940	306-87-3544	M	M	2	Principal	O	7670	2301	N	Y	3	5	0	6	12
Hope Steinman	779 Green Street	99960	213-02-4274	F	M	2	Principal	R	8251	2887	N	Y	2	5	0	0	12
Gary Steinman	472 Hill Avenue	99952	426-59-0167	M	M	1	Principal	O	8848	3539	N	Y	1	5	2	9	12
Jerry Coriano	413 Broad Street	99910	492-52-2394	M	M	1	Principal	O	7574	3029	N	Y	1	5	0	9	12
Alex Farmer	855 Cordova Lane	99942	482-71-2448	M	M	1	Manager	O	6285	1696	N	Y	1	5	3	9	12
Ernest Smith	494 High View Road	99914	338-42-8642	M	M	2	Principal	O	7209	1946	N	Y	2	4	1	9	12
Jerry Coleman	120 Rose Court	99900	421-04-3355	M	M	1	Unknown	O	6537	2287	Y	Y	2	4	0	9	12
Samuel Brewster	59 Glen View Drive	99940	337-07-3528	M	S	1	Unknown	O	7001	2450	N	Y	2	3	0	9	12
Alex Coleman	784 Broad Street	99908	101-16-8243	M	M	2	Principal	O	6257	1689	N	Y	1	3	0	9	12
Hope Goldberg	591 Lake Street	99918	187-08-5819	F	M	2	Professional	O	4324	1297	N	Y	2	5	2	2	12
Faith Steinman	158 Lake Street	99912	397-83-7151	F	M	2	Manager	O	5211	2084	N	Y	1	5	3	9	12
Jerry Baker	651 Prospect Lane	99903	215-48-3810	M	S	1	Professional	O	5738	2295	N	Y	1	5	0	9	12
Sarah Waxman	297 Prospect Lane	99903	475-97-2810	F	M	1	Unknown	O	5563	2225	N	Y	1	4	3	9	12
Faith Steinman	187 Glen View Drive	99908	455-11-2884	F	M	2	Skilled	O	5497	1649	N	Y	1	2	0	9	12
Fred Baker	385 Broad Street	99902	309-58-7651	M	M	1	Principal	O	3722	1488	N	Y	1	5	3	9	12
Mike Steinman	361 Main Street	99903	223-79-6779	M	W	1	Skilled	O	3711	1001	N	Y	1	5	3	9	12
Joan Smith	821 Hill Avenue	99965	275-82-6218	F	M	1	Unknown	O	3256	1302	N	Y	1	5	1	9	12
Faith Coleman	36 Del Mar Blvd.	99900	248-12-0174	F	M	1	Professional	O	3350	1005	N	Y	1	5	2	9	12
John Silverman	414 Maple Lane	99900	425-68-6874	M	M	1	Unknown	O	3633	1271	N	Y	3	4	1	9	12
Gary Baker	262 Maple Lane	99936	476-24-1415	M	M	2	Professional	O	3157	947	N	Y	1	4	3	9	12
Anthony Brown	498 Lake Street	99900	340-74-7797	M	M	1	Professional	O	3619	1085	N	Y	1	2	0	9	12
